Train=True,epoch,epoch_examples,sample=(batch_idx * len(data)),loss,lr,rc
train,4,39552,0.820048,None,[0.0001],None
train,4,39774,0.729867,None,[0.0001],None
train,4,39996,0.839431,None,[0.0001],None
train,4,40218,0.737643,None,[0.0001],None
train,4,40440,0.790418,None,[0.0001],None
train,4,40662,0.801467,None,[0.0001],None
train,4,40884,0.818482,None,[0.0001],None
train,4,41106,0.813723,None,[0.0001],None
train,4,41328,0.76666,None,[0.0001],None
train,4,41550,0.718978,None,[0.0001],None
train,4,41772,0.750644,None,[0.0001],None
train,4,41994,0.827635,None,[0.0001],None
train,4,42216,0.759819,None,[0.0001],None
train,4,42438,0.836582,None,[0.0001],None
train,4,42660,0.793532,None,[0.0001],None
train,4,42882,0.794885,None,[0.0001],None
train,4,43104,0.704737,None,[0.0001],None
train,4,43326,0.651585,None,[0.0001],None
train,4,43548,0.774019,None,[0.0001],None
train,4,43770,0.797324,None,[0.0001],None
train,4,43992,0.73375,None,[0.0001],None
train,4,44214,0.729675,None,[0.0001],None
train,4,44436,0.821355,None,[0.0001],None
train,4,44658,0.770339,None,[0.0001],None
train,4,44658,0.770339,0.4159324,[0.0001],None
val,4,None,0.798113333,0.435183845,None,0.199360807
train,5,45000,0.788503,None,[0.0001],None
train,5,45222,0.748241,None,[0.0001],None
train,5,45444,0.740746,None,[0.0001],None
train,5,45666,0.812714,None,[0.0001],None
train,5,45888,0.76478,None,[0.0001],None
train,5,46110,0.715574,None,[0.0001],None
train,5,46332,0.746102,None,[0.0001],None
train,5,46554,0.789449,None,[0.0001],None
train,5,46776,0.81918,None,[0.0001],None
train,5,46998,0.832417,None,[0.0001],None
train,5,47220,0.75479,None,[0.0001],None
train,5,47442,0.786452,None,[0.0001],None
train,5,47664,0.751315,None,[0.0001],None
train,5,47886,0.705573,None,[0.0001],None
train,5,48108,0.778057,None,[0.0001],None
train,5,48330,0.751183,None,[0.0001],None
train,5,48552,0.719177,None,[0.0001],None
train,5,48774,0.743941,None,[0.0001],None
train,5,48996,0.688018,None,[0.0001],None
train,5,49218,0.780566,None,[0.0001],None
train,5,49440,0.743965,None,[0.0001],None
train,5,49662,0.675802,None,[0.0001],None
train,5,49884,0.703351,None,[0.0001],None
train,5,50106,0.711982,None,[0.0001],None
train,5,50328,0.772052,None,[0.0001],None
train,5,50550,0.768532,None,[0.0001],None
train,5,50772,0.751675,None,[0.0001],None
train,5,50994,0.736087,None,[0.0001],None
train,5,51216,0.785677,None,[0.0001],None
train,5,51438,0.762193,None,[0.0001],None
train,5,51660,0.741888,None,[0.0001],None
train,5,51882,0.815433,None,[0.0001],None
train,5,52104,0.647895,None,[0.0001],None
train,5,52326,0.688368,None,[0.0001],None
train,5,52548,0.692832,None,[0.0001],None
train,5,52770,0.760249,None,[0.0001],None
train,5,52992,0.632867,None,[0.0001],None
train,5,53214,0.786594,None,[0.0001],None
train,5,53436,0.7789,None,[0.0001],None
train,5,53658,0.746099,None,[0.0001],None
train,5,53658,0.746099,0.440680932,[0.0001],None
val,5,None,0.776987453,0.460951935,None,0.194079337
train,6,54000,0.759887,None,[0.0001],None
train,6,54222,0.733147,None,[0.0001],None
train,6,54444,0.741722,None,[0.0001],None
train,6,54666,0.765419,None,[0.0001],None
train,6,54888,0.78286,None,[0.0001],None
train,6,55110,0.737681,None,[0.0001],None
train,6,55332,0.708151,None,[0.0001],None
train,6,55554,0.663713,None,[0.0001],None
train,6,55776,0.668106,None,[0.0001],None
train,6,55998,0.783709,None,[0.0001],None
train,6,56220,0.680392,None,[0.0001],None
train,6,56442,0.674297,None,[0.0001],None
train,6,56664,0.705291,None,[0.0001],None
train,6,56886,0.822517,None,[0.0001],None
train,6,57108,0.72128,None,[0.0001],None
train,6,57330,0.755942,None,[0.0001],None
train,6,57552,0.720689,None,[0.0001],None
train,6,57774,0.751412,None,[0.0001],None
train,6,57996,0.70014,None,[0.0001],None
train,6,58218,0.730712,None,[0.0001],None
train,6,58440,0.77949,None,[0.0001],None
train,6,58662,0.768202,None,[0.0001],None
train,6,58884,0.718941,None,[0.0001],None
train,6,59106,0.762749,None,[0.0001],None
train,6,59328,0.72784,None,[0.0001],None
train,6,59550,0.775915,None,[0.0001],None
train,6,59772,0.737266,None,[0.0001],None
train,6,59994,0.823519,None,[0.0001],None
train,6,60216,0.69019,None,[0.0001],None
train,6,60438,0.706133,None,[0.0001],None
train,6,60660,0.768539,None,[0.0001],None
train,6,60882,0.825046,None,[0.0001],None
train,6,61104,0.74208,None,[0.0001],None
train,6,61326,0.733274,None,[0.0001],None
train,6,61548,0.724903,None,[0.0001],None
train,6,61770,0.805145,None,[0.0001],None
train,6,61992,0.802853,None,[0.0001],None
train,6,62214,0.692875,None,[0.0001],None
train,6,62436,0.711011,None,[0.0001],None
train,6,62658,0.658678,None,[0.0001],None
train,6,62658,0.658678,0.445667299,[0.0001],None
val,6,None,0.753591528,0.472983476,None,0.188230351
train,7,63000,0.780502,None,[0.0001],None
train,7,63222,0.698594,None,[0.0001],None
train,7,63444,0.708971,None,[0.0001],None
train,7,63666,0.736695,None,[0.0001],None
train,7,63888,0.711828,None,[0.0001],None
train,7,64110,0.702133,None,[0.0001],None
train,7,64332,0.697075,None,[0.0001],None
train,7,64554,0.687733,None,[0.0001],None
train,7,64776,0.722583,None,[0.0001],None
train,7,64998,0.680832,None,[0.0001],None
train,7,65220,0.752149,None,[0.0001],None
train,7,65442,0.731311,None,[0.0001],None
train,7,65664,0.725845,None,[0.0001],None
train,7,65886,0.795113,None,[0.0001],None
train,7,66108,0.712176,None,[0.0001],None
train,7,66330,0.651995,None,[0.0001],None
train,7,66552,0.738204,None,[0.0001],None
train,7,66774,0.733866,None,[0.0001],None
train,7,66996,0.763017,None,[0.0001],None
train,7,67218,0.75301,None,[0.0001],None
train,7,67440,0.66613,None,[0.0001],None
train,7,67662,0.742333,None,[0.0001],None
train,7,67884,0.724422,None,[0.0001],None
train,7,68106,0.694987,None,[0.0001],None
train,7,68328,0.786071,None,[0.0001],None
train,7,68550,0.731596,None,[0.0001],None
train,7,68772,0.663572,None,[0.0001],None
train,7,68994,0.726458,None,[0.0001],None
train,7,69216,0.683427,None,[0.0001],None
train,7,69438,0.727734,None,[0.0001],None
train,7,69660,0.871957,None,[0.0001],None
train,7,69882,0.706594,None,[0.0001],None
train,7,70104,0.707944,None,[0.0001],None
train,7,70326,0.811448,None,[0.0001],None
train,7,70548,0.769173,None,[0.0001],None
train,7,70770,0.75471,None,[0.0001],None
train,7,70992,0.757692,None,[0.0001],None
train,7,71214,0.763725,None,[0.0001],None
train,7,71436,0.634776,None,[0.0001],None
train,7,71658,0.702513,None,[0.0001],None
train,7,71658,0.702513,0.448812842,[0.0001],None
val,7,None,0.740456914,0.482234633,None,0.184946691
train,8,72000,0.670047,None,[0.0001],None
train,8,72222,0.693379,None,[0.0001],None
train,8,72444,0.682921,None,[0.0001],None
train,8,72666,0.734264,None,[0.0001],None
train,8,72888,0.70219,None,[0.0001],None
train,8,73110,0.750168,None,[0.0001],None
train,8,73332,0.706937,None,[0.0001],None
train,8,73554,0.707285,None,[0.0001],None
train,8,73776,0.682491,None,[0.0001],None
train,8,73998,0.703204,None,[0.0001],None
train,8,74220,0.746957,None,[0.0001],None
train,8,74442,0.721661,None,[0.0001],None
train,8,74664,0.697046,None,[0.0001],None
train,8,74886,0.682664,None,[0.0001],None
train,8,75108,0.720161,None,[0.0001],None
train,8,75330,0.688395,None,[0.0001],None
train,8,75552,0.735953,None,[0.0001],None
train,8,75774,0.690105,None,[0.0001],None
train,8,75996,0.756081,None,[0.0001],None
train,8,76218,0.730903,None,[0.0001],None
train,8,76440,0.666409,None,[0.0001],None
train,8,76662,0.642079,None,[0.0001],None
train,8,76884,0.691404,None,[0.0001],None
train,8,77106,0.680172,None,[0.0001],None
train,8,77328,0.715201,None,[0.0001],None
train,8,77550,0.631211,None,[0.0001],None
train,8,77772,0.740984,None,[0.0001],None
train,8,77994,0.665044,None,[0.0001],None
train,8,78216,0.668999,None,[0.0001],None
train,8,78438,0.733062,None,[0.0001],None
train,8,78660,0.693913,None,[0.0001],None
train,8,78882,0.645432,None,[0.0001],None
train,8,79104,0.627654,None,[0.0001],None
train,8,79326,0.601164,None,[0.0001],None
train,8,79548,0.7065,None,[0.0001],None
train,8,79770,0.676797,None,[0.0001],None
train,8,79992,0.772125,None,[0.0001],None
train,8,80214,0.652327,None,[0.0001],None
train,8,80436,0.701941,None,[0.0001],None
train,8,80658,0.705852,None,[0.0001],None
train,8,80658,0.705852,0.49390559,[0.0001],None
val,8,None,0.728308219,0.480813897,None,0.181909506
train,9,81000,0.67667,None,[0.0001],None
train,9,81222,0.659863,None,[0.0001],None
train,9,81444,0.781738,None,[0.0001],None
train,9,81666,0.687971,None,[0.0001],None
train,9,81888,0.674634,None,[0.0001],None
train,9,82110,0.629833,None,[0.0001],None
train,9,82332,0.711882,None,[0.0001],None
train,9,82554,0.71546,None,[0.0001],None
train,9,82776,0.743462,None,[0.0001],None
train,9,82998,0.69542,None,[0.0001],None
train,9,83220,0.668997,None,[0.0001],None
train,9,83442,0.642709,None,[0.0001],None
train,9,83664,0.638424,None,[0.0001],None
train,9,83886,0.689105,None,[0.0001],None
train,9,84108,0.700228,None,[0.0001],None
train,9,84330,0.67349,None,[0.0001],None
train,9,84552,0.680699,None,[0.0001],None
train,9,84774,0.721291,None,[0.0001],None
train,9,84996,0.70266,None,[0.0001],None
train,9,85218,0.657189,None,[0.0001],None
train,9,85440,0.643321,None,[0.0001],None
train,9,85662,0.67398,None,[0.0001],None
train,9,85884,0.769624,None,[0.0001],None
train,9,86106,0.706242,None,[0.0001],None
train,9,86328,0.689628,None,[0.0001],None
train,9,86550,0.690859,None,[0.0001],None
train,9,86772,0.678935,None,[0.0001],None
train,9,86994,0.753753,None,[0.0001],None
train,9,87216,0.690339,None,[0.0001],None
train,9,87438,0.645252,None,[0.0001],None
train,9,87660,0.764398,None,[0.0001],None
train,9,87882,0.576345,None,[0.0001],None
train,9,88104,0.751616,None,[0.0001],None
train,9,88326,0.73251,None,[0.0001],None
train,9,88548,0.635331,None,[0.0001],None
